NUTS_ID,gdp_rank,promethee_rank,regional_innovation_index
EL64,276.5,222.5,62.98596811
EL63,274.0,242.5,77.26398668
EL62,300.0,222.5,61.89999598
EL61,248.0,236.0,71.58468263
EL54,256.0,245.5,69.00307844
EL53,289.0,226.5,74.2656276
EL52,200.0,234.5,83.14325424
EL51,268.0,250.0,59.85968101
EL43,236.0,229.0,98.90244333
EL42,286.0,207.0,40.29112625
EL41,263.0,245.5,58.65646618
EL30,44.0,185.5,86.27697826
EE00,48.0,207.0,
DK05,158.0,33.0,116.8961142
DK04,85.0,24.0,133.3412841
DK03,123.0,25.0,105.2205593
DK02,187.0,83.0,98.14480648
DK01,11.0,4.0,158.1048262
DEG0,113.0,132.0,109.4874418
DEF0,122.0,97.0,97.78283031
DEE0,183.0,144.5,94.41717657
DED5,104.0,101.5,117.0580545
DED4,142.0,134.0,102.6397928
DED2,74.0,116.0,127.6981427
Dec-00,173.0,77.0,101.7134613
DEB3,84.0,63.0,132.501742
DEB2,209.0,106.0,102.685566
DEB1,160.0,87.5,91.85803271
DEA5,117.0,83.0,105.9554848
DEA4,162.0,57.5,110.8321649
DEA3,163.0,91.5,107.3906638
DEA2,28.0,40.0,122.9858925
DEA1,101.0,44.0,107.8659334
DE94,155.0,79.0,79.51769121
DE93,164.0,136.0,89.27310407
DE92,75.0,61.0,108.4087576
DE91,90.0,27.0,136.97692
DE80,168.0,153.5,97.05287819
DE73,193.0,65.0,95.49262301
DE72,156.0,91.5,120.5679039
DE71,40.0,16.0,128.5626953
DE60,22.0,6.5,128.1305407
DE50,125.0,19.0,114.4764148
DE40,81.0,141.5,101.2941039
DE30,3.0,61.0,152.3010361
DE27,154.0,51.0,108.8099306
DE26,150.0,49.0,114.2131737
DE25,97.0,33.0,133.5103694
DE24,201.0,64.0,112.0560888
DE23,175.0,43.0,110.2676165
DE22,195.5,52.0,91.549988
DE21,7.0,10.0,147.0501904
DE14,66.0,35.0,139.1372202
DE13,82.0,57.5,129.3265101
DE12,50.0,30.0,143.3161812
DE11,51.0,15.0,135.606853
CZ08,176.0,225.0,78.73704302
CZ07,214.0,226.5,80.1320181
CZ06,126.0,216.5,85.00890117
CZ05,179.0,224.0,88.6837504
CZ04,233.0,237.0,60.05514868
CZ03,129.0,221.0,82.43109063
CZ02,195.5,214.5,79.47599172
CZ01,2.0,61.0,103.5949477
CY00,102.0,184.0,
BG42,254.0,300.0,39.41991934
BG41,47.0,248.5,56.78980885
BG34,272.0,290.5,37.41469408
BG33,259.0,297.0,39.05264377
BG32,267.0,301.0,40.20562073
BG31,304.0,303.0,32.63770897
BE35,198.0,156.5,
BE34,218.0,175.0,
BE33,140.0,139.5,
BE32,206.0,169.5,
BE31,139.0,29.0,
BE25,138.0,54.0,
BE24,30.0,42.0,
BE23,76.0,75.0,
BE22,169.0,99.0,
BE21,87.0,22.0,
BE10,36.0,5.0,
AT34,238.0,28.0,
AT33,178.0,26.0,
AT32,171.0,17.0,
AT31,153.0,36.5,
AT22,115.0,54.0,
AT21,208.0,73.0,
AT13,18.5,18.0,
AT12,137.0,85.5,
AT11,252.0,121.5,
