Regio,GDPrank,PrometheeRank,RII
ITF2,278,200.5,60.11555353
ITF1,216,172,73.0595592
ITC4,41,57.5,90.73103029
ITC3,128,101.5,70.84298329
ITC2,261,81,59.76108486
ITC1,135,116,83.60860053
IE06,20,8,115.7049402
IE05,39,3,116.5873856
IE04,99,133,108.9455461
HU33,219.5,267,54.50757574
HU32,226,279,52.01502902
HU31,243,273.5,53.10443244
HU23,255,275.5,53.3459917
HU22,246,232.5,55.07958544
HU21,250,248.5,53.43346066
HU12,237,262,81.4937499
HU11,10,161,84.39117402
HR04,106,244,61.20957681
HR03,205,251.5,47.10774999
FRY4,291,183,
FRY3,282,218,
FRY2,298,167,
FRY1,294,178.5,
FRL0,105,104.5,
FRK2,71.5,85.5,
FRK1,222,158.5,
FRJ2,70,104.5,
FRJ1,161,166,
FRI3,219.5,146.5,
FRI2,232,156.5,
FRI1,130.5,118.5,
FRH0,136,129.5,
FRG0,127,111,
FRF3,191,169.5,
FRF2,224.5,137.5,
FRF1,177,100,
FRE2,204,172,
FRE1,151,144.5,
FRD2,197,129.5,
FRD1,211,151.5,
FRC2,185.5,163,
FRC1,180,149,
FRB0,170,141.5,
FR10,32,9,
FI1D,54,89.5,
FI1C,73,68.5,
FI1B,1,13,
FI19,62,73,
EU28,240,121.5,104.714481
ES70,181,197,48.2298166
ES64,285,207,40.72539816
ES62,199,197,61.79017624
ES61,83,202,53.44071853
ES53,244,158.5,54.768523
ES52,103,191,72.54891197
ES51,21,118.5,81.23311073
ES43,249,210,45.40838946
ES42,207,200.5,46.79022746
ES41,114,180.5,54.08183472
ES30,4,89.5,77.50643544
ES24,157,143,67.713057
ES23,242,160,70.64909888
ES22,143,111,79.01221537
ES21,64,94,83.60689103
ES13,166,185.5,63.06438072
ES12,147,189,61.1121345
ES11,110,188,58.30568547
EL65,275,230,58.54366076
EL64,276.5,222.5,62.98596811
EL63,274,242.5,77.26398668
EL62,300,222.5,61.89999598
EL61,248,236,71.58468263
EL54,256,245.5,69.00307844
EL53,289,226.5,74.2656276
EL52,200,234.5,83.14325424
EL51,268,250,59.85968101
EL43,236,229,98.90244333
EL42,286,207,40.29112625
EL41,263,245.5,58.65646618
EL30,44,185.5,86.27697826
EE00,48,207,
DK05,158,33,116.8961142
DK04,85,24,133.3412841
DK03,123,25,105.2205593
DK02,187,83,98.14480648
DK01,11,4,158.1048262
DEG0,113,132,109.4874418
DEF0,122,97,97.78283031
DEE0,183,144.5,94.41717657
DED5,104,101.5,117.0580545
DED4,142,134,102.6397928
DED2,74,116,127.6981427
Dec-00,173,77,101.7134613
DEB3,84,63,132.501742
DEB2,209,106,102.685566
DEB1,160,87.5,91.85803271
DEA5,117,83,105.9554848
DEA4,162,57.5,110.8321649
DEA3,163,91.5,107.3906638
DEA2,28,40,122.9858925
DEA1,101,44,107.8659334
DE94,155,79,79.51769121
DE93,164,136,89.27310407
DE92,75,61,108.4087576
DE91,90,27,136.97692
DE80,168,153.5,97.05287819
DE73,193,65,95.49262301
DE72,156,91.5,120.5679039
DE71,40,16,128.5626953
DE60,22,6.5,128.1305407
DE50,125,19,114.4764148
DE40,81,141.5,101.2941039
DE30,3,61,152.3010361
DE27,154,51,108.8099306
DE26,150,49,114.2131737
DE25,97,33,133.5103694
DE24,201,64,112.0560888
DE23,175,43,110.2676165
DE22,195.5,52,91.549988
DE21,7,10,147.0501904
DE14,66,35,139.1372202
DE13,82,57.5,129.3265101
DE12,50,30,143.3161812
DE11,51,15,135.606853
CZ08,176,225,78.73704302
CZ07,214,226.5,80.1320181
CZ06,126,216.5,85.00890117
CZ05,179,224,88.6837504
CZ04,233,237,60.05514868
CZ03,129,221,82.43109063
CZ02,195.5,214.5,79.47599172
CZ01,2,61,103.5949477
CY00,102,184,
BG42,254,300,39.41991934
BG41,47,248.5,56.78980885
BG34,272,290.5,37.41469408
BG33,259,297,39.05264377
BG32,267,301,40.20562073
BG31,304,303,32.63770897
BE35,198,156.5,
BE34,218,175,
BE33,140,139.5,
BE32,206,169.5,
BE31,139,29,
BE25,138,54,
BE24,30,42,
BE23,76,75,
BE22,169,99,
BE21,87,22,
BE10,36,5,
AT34,238,28,
AT33,178,26,
AT32,171,17,
AT31,153,36.5,
AT22,115,54,
AT21,208,73,
AT13,18.5,18,
AT12,137,85.5,
AT11,252,121.5,
